Document No.,Line No.,Sell-to Customer No.,No.,Description,Shipment Date,Outstanding Quantity,Unit Price,Line Amount,Location Code
SO537202,40000,1376,L345-1610C,"3"" 45 DEG ELBOW 16"" X 10"" CHROME",07/24/2026,10,67.37,673.70,MAIN
SO537203,10000,1312,M-1910,"MUFFLER RECTANGULAR 11"" X 36"" 4"" IN/OUT",07/20/2026,1,205.63,205.63,MAIN
SO537203,20000,1312,M-6733,"MUFFLER ROUND 13"" X 42"" 4"" IN/OUT",07/20/2026,5,258.35,1291.75,MAIN
SO537203,30000,1312,CU-55780,CUSTOM MANIFOLD PER DRAWING 60216,07/20/2026,3,414.92,1244.76,MAIN
SO537203,40000,1312,L545-3018B,"5"" 45 DEG ELBOW 30"" X 18"" BLACK",07/20/2026,5,78.61,393.05,MAIN
SO537302,10000,1454,L760-2014B,"7"" 60 DEG ELBOW 20"" X 14"" BLACK",08/10/2026,8,61.08,488.64,EAST
SO537302,20000,1454,FL25-8GA,"2.5"" X 8"" FLEX PIPE GALVANIZED",08/10/2026,6,33.21,199.26,EAST
SO537302,30000,1454,RBRC5B2,"RAIN CAP 5"" BLACK STYLE 2",08/10/2026,30,36.73,1101.90,EAST
SO537302,40000,1454,P8-120CE,"8"" X 120"" PIPE CHROME ONE END EXPANDED",08/10/2026,2,87.26,174.52,EAST
SO537303,10000,1303,L422-108SC,"4"" 22 DEG ELBOW 10"" X 8"" CHROME SLIP",08/03/2026,6,74.61,447.66,EAST
SO537401,10000,1290,L530-2018C,"5"" 30 DEG ELBOW 20"" X 18"" CHROME",08/10/2026,7,90.03,630.21,EAST
SO537402,10000,1349,P3-144CX,"3"" X 144"" PIPE CHROME BOTH ENDS EXPANDED",08/03/2026,2,95.06,190.12,MAIN
SO537403,10000,1485,M-6593,"MUFFLER OVAL 11"" X 30"" 6"" IN/OUT",08/10/2026,5,208.85,1044.25,EAST
SO537403,20000,1485,RBMB7Z1,"MOUNTING BRACKET 7"" ZINC STYLE 1",08/10/2026,15,27.25,408.75,EAST
SO537403,30000,1485,S8-24BB,"8"" X 24"" BULL HAULER STACK BLACK",08/10/2026,3,91.36,274.08,EAST
SO537501,10000,1312,RW-1625,"TUBE 4"" 16GA 20FT STAINLESS 409",08/10/2026,23,118.62,2728.26,MAIN
SO537501,20000,1312,CU-55780,CUSTOM MANIFOLD PER DRAWING 60216,08/10/2026,4,414.92,1659.68,MAIN
SO537502,10000,1376,S5-96KA,"5"" X 96"" CURVED STACK ALUMINIZED",07/27/2026,3,103.12,309.36,MAIN
SO537502,20000,1376,L890-1230B,"8"" 90 DEG ELBOW 12"" X 30"" BLACK",07/27/2026,7,98.49,689.43,MAIN
SO537502,30000,1376,M-6278,"MUFFLER RECTANGULAR 12"" X 36"" 5"" IN/OUT",07/27/2026,5,135.52,677.60,MAIN
SO537503,10000,1480,L690-3020SA,"6"" 90 DEG ELBOW 30"" X 20"" ALUMINIZED SLIP",07/31/2026,9,78.49,706.41,EAST
SO537801,10000,1264,L530-3016C,"5"" 30 DEG ELBOW 30"" X 16"" CHROME, ""EXPEDITE"" per buyer",08/18/2026,2,101.85,203.70,MAIN
SO537901,10000,1326,P35-18SX,"3.5"" X 18"" PIPE STAINLESS BOTH ENDS EXPANDED",08/17/2026,16,33.45,535.20,MAIN
SO537902,10000,1264,L530-3016C,"5"" 30 DEG ELBOW 30"" X 16"" CHROME",07/29/2026,8,101.85,814.80,MAIN
SO537903,10000,1448,P35-18SX,"3.5"" X 18"" PIPE STAINLESS BOTH ENDS EXPANDED",07/20/2026,16,35.38,566.08,MAIN
SO538001,10000,1485,M-6593,"MUFFLER OVAL 11"" X 30"" 6"" IN/OUT",07/22/2026,1,208.85,208.85,EAST
SO538001,20000,1485,RBMB7Z1,"MOUNTING BRACKET 7"" ZINC STYLE 1",07/22/2026,23,27.25,626.75,EAST
SO538001,30000,1485,RBHG7Z1,"HANGER 7"" ZINC STYLE 1",07/22/2026,20,42.37,847.40,EAST
SO538002,10000,1349,M-6593,"MUFFLER OVAL 11"" X 30"" 6"" IN/OUT",08/05/2026,6,252.56,1515.36,MAIN
SO538002,20000,1349,L622-1214SC,"6"" 22 DEG ELBOW 12"" X 14"" CHROME SLIP",08/05/2026,10,82.69,826.90,MAIN
SO538003,10000,1474,FL25-8GA,"2.5"" X 8"" FLEX PIPE GALVANIZED, ""EXPEDITE"" per buyer",08/17/2026,16,42.48,679.68,MAIN
SO538004,10000,1280,L615-1216B,"6"" 15 DEG ELBOW 12"" X 16"" BLACK",08/12/2026,8,57.58,460.64,MAIN
SO538004,20000,1280,L422-108SC,"4"" 22 DEG ELBOW 10"" X 8"" CHROME SLIP",08/12/2026,10,60.17,601.70,MAIN
SO538004,30000,1280,L490-620C,"4"" 90 DEG ELBOW 6"" X 20"" CHROME",08/12/2026,1,89.58,89.58,MAIN
SO538004,40000,1280,S6-138MC,"6"" X 138"" MITER CUT STACK CHROME",08/12/2026,6,233.02,1398.12,MAIN
SO538102,10000,1366,L315-1214SC,"3"" 15 DEG ELBOW 12"" X 14"" CHROME SLIP, ""EXPEDITE"" per buyer",08/10/2026,7,62.72,439.04,MAIN
SO538103,10000,1334,S4-144WB,"4"" X 144"" WEST COAST TURNOUT STACK BLACK",07/31/2026,1,172.03,172.03,MAIN
SO538202,10000,1341,L315-1214SC,"3"" 15 DEG ELBOW 12"" X 14"" CHROME SLIP",07/30/2026,6,66.34,398.04,MAIN
SO538202,20000,1341,RBRC10B3,"RAIN CAP 10"" BLACK STYLE 3",07/30/2026,31,46.35,1436.85,MAIN
SO538203,10000,1514,S8-144MC,"8"" X 144"" MITER CUT STACK CHROME",08/03/2026,1,278.78,278.78,MAIN
SO538501,10000,1255,M-1910,"MUFFLER RECTANGULAR 11"" X 36"" 4"" IN/OUT",07/21/2026,4,226.19,904.76,MAIN
SO538502,10000,1454,L622-1214SC,"6"" 22 DEG ELBOW 12"" X 14"" CHROME SLIP",08/03/2026,1,68.37,68.37,MAIN
SO538502,20000,1454,L560-1230B,"5"" 60 DEG ELBOW 12"" X 30"" BLACK",08/03/2026,2,66.73,133.46,MAIN
SO538503,10000,1319,L522-1230B,"5"" 22 DEG ELBOW 12"" X 30"" BLACK",08/25/2026,1,92.84,92.84,EAST
SO538601,10000,1463,L615-3018B,"6"" 15 DEG ELBOW 30"" X 18"" BLACK",07/23/2026,3,54.94,164.82,MAIN
SO538602,10000,1436,CU-42868,CUSTOM EXTENSION PER DRAWING 91295,07/28/2026,4,637.74,2550.96,EAST
SO538602,20000,1436,L315-146SA,"3"" 15 DEG ELBOW 14"" X 6"" ALUMINIZED SLIP",07/28/2026,8,36.30,290.40,EAST
SO538602,30000,1436,RW-1436,"TUBE 7"" 12GA 10FT STAINLESS 304",07/28/2026,30,90.77,2723.10,EAST
SO538602,40000,1436,L530-3016C,"5"" 30 DEG ELBOW 30"" X 16"" CHROME",07/28/2026,6,82.14,492.84,EAST
SO538603,10000,1309,S8-144MC,"8"" X 144"" MITER CUT STACK CHROME",08/03/2026,3,217.96,653.88,EAST
SO538604,10000,1361,L345-1610C,"3"" 45 DEG ELBOW 16"" X 10"" CHROME",08/17/2026,6,55.71,334.26,MAIN
SO538604,20000,1361,L415-2030SC,"4"" 15 DEG ELBOW 20"" X 30"" CHROME SLIP",08/17/2026,4,72.09,288.36,MAIN
SO538701,10000,1396,L415-2024B,"4"" 15 DEG ELBOW 20"" X 24"" BLACK",07/27/2026,7,53.97,377.79,MAIN
SO538702,10000,1264,L530-3016C,"5"" 30 DEG ELBOW 30"" X 16"" CHROME",07/20/2026,1,101.85,101.85,MAIN
SO538703,10000,1290,L760-2014B,"7"" 60 DEG ELBOW 20"" X 14"" BLACK",07/20/2026,5,73.87,369.35,MAIN
SO538703,20000,1290,RW-1625,"TUBE 4"" 16GA 20FT STAINLESS 409",07/20/2026,7,123.36,863.52,MAIN
SO538801,10000,1436,S8-24BB,"8"" X 24"" BULL HAULER STACK BLACK",08/12/2026,5,106.23,531.15,MAIN
SO538801,20000,1436,RBRC5B2,"RAIN CAP 5"" BLACK STYLE 2",08/12/2026,15,42.72,640.80,MAIN
SO538802,10000,1319,L522-1230B,"5"" 22 DEG ELBOW 12"" X 30"" BLACK, ""EXPEDITE"" per buyer",07/27/2026,5,92.84,464.20,MAIN
SO538803,10000,1376,S5-96KA,"5"" X 96"" CURVED STACK ALUMINIZED",08/06/2026,10,103.12,1031.20,MAIN
SO538901,10000,1341,RW-1436,"TUBE 7"" 12GA 10FT STAINLESS 304",08/06/2026,8,99.85,798.80,MAIN
SO538901,20000,1341,L822-1024S,"8"" 22 DEG ELBOW 10"" X 24"" STAINLESS",08/06/2026,7,106.08,742.56,MAIN
SO538901,30000,1341,L315-1214SC,"3"" 15 DEG ELBOW 12"" X 14"" CHROME SLIP",08/06/2026,1,66.34,66.34,MAIN
SO538902,10000,1352,S5-72MA,"5"" X 72"" MITER CUT STACK ALUMINIZED",07/27/2026,4,93.28,373.12,MAIN
SO538903,10000,1373,S4-138MS,"4"" X 138"" MITER CUT STACK STAINLESS",07/31/2026,6,200.48,1202.88,EAST
SO538904,10000,1519,RBRC4Z2,"RAIN CAP 4"" ZINC STYLE 2",07/21/2026,8,41.24,329.92,MAIN
