Document No.,Line No.,Buy-from Vendor No.,No.,Description,Expected Receipt Date,Promised Receipt Date,Outstanding Quantity,Location Code
PO-104027,10000,V10050,M-6278,"MUFFLER RECTANGULAR 12"" X 36"" 5"" IN/OUT",10/17/2026,10/17/2026,250,MAIN
PO-104028,10000,V10050,RW-791,"TUBE 7"" 14GA 10FT STAINLESS 304",10/27/2026,10/27/2026,25,MAIN
PO-104029,10000,V10050,S4-36BS,"4"" X 36"" BULL HAULER STACK STAINLESS",11/15/2026,11/15/2026,125,MAIN
PO-104030,10000,V10050,L745-818C,"7"" 45 DEG ELBOW 8"" X 18"" CHROME",11/22/2026,11/19/2026,25,MAIN
PO-104031,10000,V10060,L460-1410S,"4"" 60 DEG ELBOW 14"" X 10"" STAINLESS",08/29/2026,08/29/2026,125,MAIN
PO-104032,10000,V10060,L860-1816C,"8"" 60 DEG ELBOW 18"" X 16"" CHROME",09/05/2026,09/05/2026,250,MAIN
PO-104032,20000,V10060,M-6733,"MUFFLER ROUND 13"" X 42"" 4"" IN/OUT",09/12/2026,09/04/2026,125,MAIN
PO-104033,10000,V10060,L330-1830SA,"3"" 30 DEG ELBOW 18"" X 30"" ALUMINIZED SLIP",10/11/2026,10/11/2026,33,MAIN
PO-104034,10000,V10060,S7-108SA,"7"" X 108"" STRAIGHT CUT STACK ALUMINIZED",10/16/2026,10/16/2026,25,MAIN
PO-104035,10000,V10060,M-6733,"MUFFLER ROUND 13"" X 42"" 4"" IN/OUT",10/20/2026,10/20/2026,125,MAIN
PO-104036,10000,V10060,L330-1830SA,"3"" 30 DEG ELBOW 18"" X 30"" ALUMINIZED SLIP",10/26/2026,10/26/2026,34,MAIN
PO-104037,10000,V10060,CL4VZ,"4"" V-BAND CLAMP ZINC",11/15/2026,11/15/2026,125,MAIN
PO-104037,20000,V10060,L460-1410S,"4"" 60 DEG ELBOW 14"" X 10"" STAINLESS",11/14/2026,11/14/2026,125,MAIN
PO-104038,10000,V10060,L330-1830SA,"3"" 30 DEG ELBOW 18"" X 30"" ALUMINIZED SLIP",11/24/2026,11/17/2026,33,MAIN
PO-104039,10000,V10060,CL4VZ,"4"" V-BAND CLAMP ZINC",11/26/2026,11/26/2026,125,MAIN
PO-104040,10000,V10070,RBGD8B1,"GUARD 8"" BLACK STYLE 1",10/07/2026,10/07/2026,83,MAIN
PO-104041,10000,V10070,RBGD8B1,"GUARD 8"" BLACK STYLE 1",10/31/2026,10/31/2026,83,MAIN
PO-104042,10000,V10070,RBGD8B1,"GUARD 8"" BLACK STYLE 1",11/13/2026,11/13/2026,84,MAIN
PO-104043,10000,V10090,M-6565,"MUFFLER RECTANGULAR 12"" X 24"" 5"" IN/OUT",09/04/2026,09/04/2026,25,MAIN
PO-104044,10000,V10090,M-6565,"MUFFLER RECTANGULAR 12"" X 24"" 5"" IN/OUT",10/09/2026,10/09/2026,25,MAIN
PO-104045,10000,V10090,RBRC3S2,"RAIN CAP 3"" STAINLESS STYLE 2",10/14/2026,10/14/2026,16,MAIN
PO-104046,10000,V10090,RBRC3S2,"RAIN CAP 3"" STAINLESS STYLE 2",11/01/2026,11/01/2026,18,MAIN
PO-104046,20000,V10090,RBRC3S2,"RAIN CAP 3"" STAINLESS STYLE 2",10/28/2026,10/28/2026,16,MAIN
PO-104047,10000,V10100,RW-926,"TUBE 7"" 14GA 10FT STAINLESS 304",09/07/2026,09/07/2026,16,MAIN
PO-104048,10000,V10100,RW-926,"TUBE 7"" 14GA 10FT STAINLESS 304",10/21/2026,10/21/2026,18,MAIN
PO-104049,10000,V10100,RW-926,"TUBE 7"" 14GA 10FT STAINLESS 304",11/19/2026,11/19/2026,16,MAIN
